fname,label
clip_25f96ade6.wav,10
clip_ac8fa1682.wav,10
clip_cdadf318a.wav,10
clip_7419f0d7e.wav,10
clip_9e83292d5.wav,6
clip_00f803721.wav,10
clip_aafb5a6d9.wav,6
clip_0dee755a2.wav,11
clip_8070bb404.wav,11
clip_b3bef71f6.wav,10
clip_b94577f1e.wav,10
clip_4fd22b958.wav,6
clip_b3a950c47.wav,10
clip_c87b8ff71.wav,10
clip_a0039589b.wav,10
clip_c7c4eaf1d.wav,10
clip_f6ff9e9b5.wav,10
clip_bfc01d316.wav,7
clip_6984491f2.wav,10
clip_e51432c10.wav,3
clip_fe6ce335c.wav,11
clip_3e0ed2f0a.wav,10
clip_c9f89457a.wav,7
clip_cc3cc2827.wav,10
clip_7cc8f3c63.wav,10
clip_3070880b8.wav,7
clip_6f112fd1e.wav,11
clip_fb1febbcd.wav,0
clip_f8de61a7d.wav,7
clip_95442c1ad.wav,10
clip_d679baa24.wav,10
clip_ba3a78afd.wav,10
clip_5ef10de58.wav,10
clip_d822adbf8.wav,7
clip_5da9437e9.wav,10
clip_e5e7ecb11.wav,11
clip_50dd0254f.wav,7
clip_ffacf4531.wav,10
clip_5c237cd78.wav,11
clip_94c126515.wav,7
clip_f773ed813.wav,10
clip_49afac1ef.wav,6
clip_9c84c1ccb.wav,10
clip_a73cba6e9.wav,10
clip_62d7af0ce.wav,11
clip_0bc394817.wav,10
clip_6bf3b3754.wav,11
clip_5ba9ccf28.wav,10
clip_5483fea89.wav,10
clip_f2ebac7e9.wav,6
clip_0998f427b.wav,11
clip_270a05417.wav,11
clip_d45a94571.wav,11
clip_7a229235d.wav,11
clip_75576358d.wav,9
clip_4e78dc8e2.wav,11
clip_d51d48a94.wav,10
clip_834aff578.wav,11
clip_cad8a287c.wav,3
clip_f0742f438.wav,11
clip_02fdca644.wav,10
clip_885cda254.wav,11
clip_ec1c96dd7.wav,7
clip_4e8fdd03c.wav,7
clip_51a8e5d1a.wav,10
clip_1ff3a125a.wav,7
clip_eeb19fc52.wav,10
clip_ff2283fe6.wav,10
clip_1a6473e69.wav,3
clip_8d1cb4951.wav,10
clip_7273cc050.wav,9
clip_b21d6a147.wav,11
clip_dd3dd5962.wav,10
clip_2419bddd3.wav,10
clip_6440fac7f.wav,11
clip_686fb96bb.wav,10
clip_a73ca7688.wav,11
clip_f7769fd29.wav,11
clip_fa6ea4435.wav,11
clip_c1cf75681.wav,10
clip_673c1b6ca.wav,11
clip_39e4be78e.wav,6
clip_bbf93767d.wav,10
clip_096159cd0.wav,7
clip_27abb9c76.wav,7
clip_2a30833e0.wav,10
clip_30a7ce39e.wav,0
clip_4a1238300.wav,7
clip_58db98f9e.wav,11
clip_983eaa002.wav,10
clip_2dc675a89.wav,7
clip_e1ddc0919.wav,10
clip_44ff6d437.wav,11
clip_89c3a7866.wav,10
clip_5aa4a2c58.wav,10
clip_177177243.wav,5
clip_aee964a25.wav,11
clip_89f71c363.wav,11
clip_011d1450d.wav,10
clip_8988da3ec.wav,10
clip_81e807a39.wav,10
clip_92fbd3030.wav,11
clip_078a62039.wav,11
clip_0ceb75f56.wav,11
clip_b0a7f62f4.wav,10
clip_b665dd105.wav,10
clip_b965ff90e.wav,11
clip_f7d963218.wav,11
clip_7db1e5f3f.wav,10
clip_1c1f1c393.wav,10
clip_91dac0563.wav,11
clip_8813c4d35.wav,10
clip_fe1ebaef4.wav,7
clip_9f2f160ff.wav,10
clip_e00c30b3a.wav,3
clip_47386b31e.wav,11
clip_f02fdb496.wav,10
clip_f5f9f1369.wav,11
clip_99f135c40.wav,6
clip_20a567f26.wav,11
clip_196e20399.wav,10
clip_d2efb82ba.wav,11
clip_544aca444.wav,11
clip_787b89a6b.wav,10
clip_623610d0e.wav,10
clip_afb49ac77.wav,10
clip_908ac0ddb.wav,7
clip_906a07881.wav,10
clip_83f17efcf.wav,10
clip_e76183aec.wav,10
clip_4189591af.wav,10
clip_485fb1532.wav,11
clip_2a885eab9.wav,11
clip_8dc2c62ff.wav,7
clip_d171af6a7.wav,10
clip_af0825d6d.wav,10
clip_d1ef0d067.wav,11
clip_78d8f5847.wav,10
clip_32d42e68a.wav,11
clip_f84638e08.wav,11
clip_6b62bf41d.wav,0
clip_e77f750c4.wav,7
clip_bd6f45fc5.wav,10
clip_5f36e0353.wav,3
clip_650f36033.wav,11
clip_1dcd7e907.wav,11
clip_5f785ca08.wav,10
clip_a755cc062.wav,11
clip_bf2782d5d.wav,11
clip_2899cf3cf.wav,0
clip_802e8024d.wav,10
clip_388fe6654.wav,10
clip_01848a8ee.wav,6
clip_55c6d8cb8.wav,10
clip_945051e75.wav,10
clip_ba5efec3c.wav,10
clip_1c38f49d6.wav,10
clip_eddab4163.wav,11
clip_e4549a313.wav,11
clip_fd6dc11de.wav,10
clip_facdbd017.wav,11
clip_73e2b8f9d.wav,10
clip_4b8113f0f.wav,11
clip_8343d1f94.wav,10
clip_2d85e6c3b.wav,11
clip_63f589c8a.wav,7
clip_66ed78a19.wav,10
clip_aa2e1c735.wav,11
clip_fd91e6e12.wav,11
clip_9775bd229.wav,6
clip_f11896c60.wav,11
clip_405903227.wav,10
clip_9aa47e083.wav,10
clip_8d80f6907.wav,7
clip_963f8e345.wav,10
clip_7c81ce16b.wav,3
clip_e19ede25f.wav,11
clip_ddfe089ce.wav,11
clip_3759bbeb7.wav,7
clip_0d5e61f68.wav,10
clip_4ba56f3e9.wav,10
clip_a7d139a9e.wav,11
clip_9d7a14bf4.wav,6
clip_18fbc44f1.wav,11
clip_6dcd8edf7.wav,7
clip_585bfa372.wav,10
clip_a64e2ede9.wav,10
clip_57c40ca8d.wav,9
clip_cff10afdf.wav,11
clip_892a554f0.wav,10
clip_857da775f.wav,10
clip_f4e626b45.wav,10
clip_5387aca48.wav,11
clip_d5f7a2b04.wav,10
clip_6ad09ef1f.wav,10
clip_a1f54bd42.wav,10
clip_96f246f71.wav,10
clip_c51b3d5e6.wav,10
clip_bf2a89547.wav,7
clip_91cbef4f2.wav,11
clip_81bbe8ae7.wav,11
clip_0f47cf664.wav,11
clip_783ebb21c.wav,10
clip_9f79b9b12.wav,10
clip_f37a03761.wav,10
clip_d8adb8159.wav,10
clip_8058cb5ec.wav,11
clip_351872845.wav,7
clip_3e2f435d7.wav,11
clip_a1d583db4.wav,11
clip_ab5ec588f.wav,11
clip_a4c17b2a3.wav,7
clip_3ed4cdb28.wav,11
clip_4239d227b.wav,11
clip_b2e517b05.wav,11
clip_31824ec36.wav,6
clip_1987d5928.wav,10
clip_4a5ec8a27.wav,0
clip_f4d38f621.wav,10
clip_810443c39.wav,11
