fname,label
clip_7ce0d2ad6.wav,10
clip_0f6179725.wav,7
clip_a430cbe0a.wav,6
clip_2b86b5d9c.wav,11
clip_594907203.wav,10
clip_3ac7fbd53.wav,7
clip_45c83d1c3.wav,11
clip_8471f10b2.wav,10
clip_598f9b251.wav,11
clip_de7f0b6e4.wav,11
clip_0cadf84b7.wav,11
clip_22cd56343.wav,11
clip_8aba7a16c.wav,0
clip_a5b3df1ca.wav,10
clip_8551a1175.wav,10
clip_5bdb92cb6.wav,0
clip_929d83c4f.wav,10
clip_13f592ce9.wav,10
clip_fc4907888.wav,11
clip_33f5c2a06.wav,11
clip_a6196f080.wav,11
clip_986d5c537.wav,10
clip_5fc712ab4.wav,10
clip_bcabdbf28.wav,11
clip_b31b87283.wav,11
clip_f528a57c2.wav,7
clip_7fefb7e61.wav,10
clip_c5b7ac1d2.wav,11
clip_a496cbe44.wav,11
clip_d6566f1c9.wav,11
clip_1e1345ee0.wav,10
clip_61a390be5.wav,0
clip_5ea53b145.wav,5
clip_5e3a33e11.wav,6
clip_8909b15f6.wav,10
clip_30f4ec5c9.wav,10
clip_611106e64.wav,11
clip_04aeb69d1.wav,10
clip_a216e39e3.wav,11
clip_23a1c1a3a.wav,7
clip_2bde8b15d.wav,11
clip_9c98e6cf2.wav,7
clip_e2f8f574e.wav,10
clip_f03f1ecda.wav,10
clip_055c0b199.wav,11
clip_a412b51c6.wav,11
clip_90572b990.wav,11
clip_3b798bedb.wav,11
clip_fc5b989af.wav,10
clip_15a0b3e03.wav,6
clip_a74ccdcf4.wav,7
clip_ecc3f7437.wav,10
clip_da295f696.wav,10
clip_ab4e8663f.wav,11
clip_4ed81b67c.wav,3
clip_3e25b37dd.wav,6
clip_cb0d61092.wav,11
clip_4896ca41b.wav,11
clip_f7d01a7fd.wav,10
clip_966df047d.wav,10
clip_767d4f987.wav,11
clip_ea51582ad.wav,11
clip_c942d413b.wav,10
clip_565c42fa8.wav,11
clip_d29152ed1.wav,11
clip_76603a3df.wav,11
clip_5c8274cce.wav,11
clip_be05f7e1a.wav,10
clip_11cb55aa1.wav,6
clip_1d20b95af.wav,10
clip_becc149c1.wav,10
clip_81690ec9f.wav,5
clip_1997330df.wav,11
clip_0145bac80.wav,11
clip_03201eeaa.wav,10
clip_bba55458e.wav,10
clip_75637cc8d.wav,11
